name,address,Latitude,Longitude,area,people
삼일,"서울 강남구 헌릉로 736, (세곡동, 삼일자동차운전학원)",37.4669,127.12,13586,578
창동,"서울 도봉구 도봉로136다길 4, (창동, 창동운전전문학원)",37.6599,127.043,17914,416
녹천,"서울 노원구 마들로5길 91, (월계동, 녹천자동차운전학원)",37.6429,127.051,8232,630
사당,"서울 서초구 과천대로 904-6, (방배동, 사당자동차운전면허학원)",37.4716,126.984,11013,640
서울,"서울 강서구 남부순환로 222, (외발산동, 서울자동차학원)",37.546,126.82,10491,792
온수역,"서울 구로구 부일로1가길 18-44, (온수동)",37.4929,126.818,8383,432
중랑,"서울 중랑구 상봉로 117, (상봉동, 상봉시외버스터미널)",37.5965,127.092,6905,416
양재,"서울 서초구 남부순환로342길 62-26, (양재동, 양재자동차운전학원)",37.4841,127.034,8389,476
신도림,"서울 구로구 신도림로19길 68, (신도림동, 신도림자동차전문학원)",37.5128,126.882,17195,1024
남영,"부산 사하구 을숙도대로 709(신평동)",35.0857,128.982,8490,294
대우,"부산 사상구 학감대로192번길 1, (학장동, 대우자동차학원)",35.1487,128.99,8346,126
서부산,"부산 사하구 낙동대로563번안길 2, (하단동)",35.113,128.962,6923,182
기장아세아,"부산 기장군 정관면 곰내길 603-33, (기장아세아운전학원)",35.3172,129.17,6715,154
영도,"부산 영도구 조내기로 68, (청학동)",35.0859,129.066,6806,98
현대,"부산 금정구 청룡예전로 16, (청룡동)",35.2747,129.092,7579,168
쌍용,"부산 영도구 와치로 83, (청학동, 쌍용자동차학원)",35.0864,129.061,6828,72
흥국,"부산 해운대구 양운로37번길 28, (중동)",35.1657,129.175,8409,98
대성,"부산 사상구 사상로367번길 42, (덕포동, 대성자동차학원)",35.178,128.982,6637,182
수영,"부산 수영구 좌수영로210번길 24, (망미동, 수영자동차학원)",35.1838,129.116,9963,500
동일,"부산 동래구 수안로 58, (수안동, 동일자동차운전전문학원)",35.1999,129.085,7555,252
서면,"부산 부산진구 진남로356번길 56-11, (전포동)",35.1588,129.073,6885,255
금사,"부산 금정구 공단서로8번길 49, (금사동, 금사자동차운전전문학원)",35.2162,129.113,6700,120
명진,"부산 해운대구 센텀남대로 20, (우동)",35.1653,129.13,11454,176
영동,"부산 부산진구 백양관문로 60, (당감동)",35.1647,129.03,14390,322
학장,"부산 사상구 장인로 59, (학장동)",35.1427,128.976,11187,176
동호,"부산 부산진구 황령대로17번길 30, (범천동)",35.1493,129.061,6713,224
구포북부,"부산 북구 구남로15번길 25, (구포동, 북부자동차학원)",35.1947,128.99,6661,154
(주)성당,"대구 달서구 와룡로33길 51, (감삼동)",35.8472,128.531,7114,624
(주)대경,"대구 수성구 달구벌대로659길 31, (사월동)",35.8378,128.718,7178,126
고려,"대구 달서구 상화로 116, (대곡동)",35.8082,128.527,12914,780
